标题,得分,演员,链接地址
我不是药神,9.0,徐峥  王传君  周一围  谭卓  章宇,https://movie.douban.com/subject/26752088/
肖申克的救赎,9.7,蒂姆·罗宾斯  摩根·弗里曼  鲍勃·冈顿  威廉姆·赛德勒  克兰西·布朗,https://movie.douban.com/subject/1292052/
这个杀手不太冷,9.4,让·雷诺  娜塔莉·波特曼  加里·奥德曼  丹尼·爱罗  彼得·阿佩尔,https://movie.douban.com/subject/1295644/
流浪地球,7.9,屈楚萧  吴京  李光洁  吴孟达  赵今麦,https://movie.douban.com/subject/26266893/
千与千寻,9.4,柊瑠美  入野自由  夏木真理  菅原文太  中村彰男,https://movie.douban.com/subject/1291561/
泰坦尼克号,9.4,莱昂纳多·迪卡普里奥  凯特·温丝莱特  比利·赞恩  凯西·贝茨  弗兰西丝·费舍,https://movie.douban.com/subject/1292722/
阿甘正传,9.5,汤姆·汉克斯  罗宾·怀特  加里·西尼斯  麦凯尔泰·威廉逊  莎莉·菲尔德,https://movie.douban.com/subject/1292720/
盗梦空间,9.3,莱昂纳多·迪卡普里奥  约瑟夫·高登-莱维特  艾利奥特·佩吉  汤姆·哈迪  渡边谦,https://movie.douban.com/subject/3541415/
霸王别姬,9.6,张国荣  张丰毅  巩俐  葛优  英达,https://movie.douban.com/subject/1291546/
疯狂动物城,9.2,金妮弗·古德温  杰森·贝特曼  伊德里斯·艾尔巴  珍妮·斯蕾特  内特·托伦斯,https://movie.douban.com/subject/25662329/
摔跤吧！爸爸,9.0,阿米尔·汗  法缇玛·萨那·纱卡  桑亚·玛荷塔  阿帕尔夏克提·库拉那  沙克希·坦沃,https://movie.douban.com/subject/26387939/
西虹市首富,6.6,沈腾  宋芸桦  张一鸣  张晨光  常远,https://movie.douban.com/subject/27605698/
哪吒之魔童降世,8.4,吕艳婷  囧森瑟夫  瀚墨  陈浩  绿绮,https://movie.douban.com/subject/26794435/
三傻大闹宝莱坞,9.2,阿米尔·汗  卡琳娜·卡普尔  马达范  沙尔曼·乔希  奥米·瓦依达,https://movie.douban.com/subject/3793023/
怦然心动,9.1,玛德琳·卡罗尔  卡兰·麦克奥利菲  瑞贝卡·德·莫妮  安东尼·爱德华兹  约翰·马奥尼,https://movie.douban.com/subject/3319755/
让子弹飞,8.9,姜文  葛优  周润发  刘嘉玲  陈坤,https://movie.douban.com/subject/3742360/
复仇者联盟3：无限战争,8.1,小罗伯特·唐尼  克里斯·海姆斯沃斯  克里斯·埃文斯  马克·鲁弗洛  乔什·布洛林,https://movie.douban.com/subject/24773958/
海上钢琴师,9.3,蒂姆·罗斯  普路特·泰勒·文斯  比尔·努恩  克兰伦斯·威廉姆斯三世  梅兰尼·蒂埃里,https://movie.douban.com/subject/1292001/
寻梦环游记,9.1,安东尼·冈萨雷斯  盖尔·加西亚·贝纳尔  本杰明·布拉特  阿兰娜·乌巴赫  芮妮·维克托,https://movie.douban.com/subject/20495023/
