info_desc,job_name,money,name,tags
年终奖，员工旅游，零食下午茶，五险一金，带薪年假，节日福利,Python,7-12K,众通机器人,PythonJavaC++
,python讲师,8-12K,闪亮人工智能,PythonJavaJavaScriptCSSHTML
零食下午茶，年终奖，五险一金，节日福利，员工旅游，带薪年假,Python,8-12K,米多网络科技,PythonSQLPython工程师多进程DjangoTornadoDBAGo
节假日福利，定期团建，带薪年假，生日会，节假日放假，通讯补贴，节日福利，五险，下午茶，零食下午茶,python培训讲师,8-10K,磨金石,MySQLFlaskJava数据结构网络编程大数据
定期体检，加班补助，员工旅游，节日福利，带薪年假，五险一金，餐补,Python,8-13K,源鲁,python爬虫Web前端
通讯补贴，节日福利，定期体检，交通补助，餐补，员工旅游，零食下午茶，五险一金,python后台工程师,6-11K·13薪,互信软件,PythonC++网络爬虫技术后端开发数据分析
带薪年假，节日福利，通讯补贴，员工旅游，五险一金，餐补,Python,8-13K,济南大象信息,PythonLinux
零食下午茶，全勤奖，团建活动，五险一金，加班补助,Python 开发工程师,8-13K,皇利电子商务,PythonPython工程师爬虫工程师
,Python,9-18K,瑞宁,PythonLinux数据库
加班补助，员工旅游，全勤奖，定期体检，零食下午茶，五险一金，带薪年假,Python工程师,6-11K,元朗教育,网络爬虫技术算法基础RedisScrapyDjango大数据
,Python工程师,10-15K,维纳软件,GIT
定期体检，节日福利，员工旅游，五险一金，全勤奖,爬虫/python,4-7K,云程科技,网络爬虫技术SQL
补充医疗保险，员工旅游，五险一金，股票期权，年终奖，节日福利,python研发+讲师,8-9K,闪亮教育集团,PythonJavaJavaScriptCSSHTML
,Python,8-13K,方寸物造,PythonLinux数据库
员工旅游，节日福利，零食下午茶，年终奖，餐补，交通补助，带薪年假，加班补助，五险一金，十三薪，定期体检,Python老师,3-5K,傲梦网络科技,PythonJavaC#
五险一金，节日福利，年终奖，加班补助,Python,8-13K,华链医疗,分布式技术多线程微服务架构DjangoNLP互联网医疗
带薪年假，大牛带队，五险一金，股票期权，节日福利,python软件开发工程师,6-8K,济南漫点信息科技,容器技术LinuxMySQLMongoDBRedis网络爬虫技术
五险一金，年终奖，带薪年假，定期体检,Python/Go开发工程师 国企项目,8-10K·13薪,山东思域信息科技,PythonGo
,python 开发,10-15K,众码诚品,数据库后端开发Python
